id	name_id	event_type	requested_by	requestor_comment	request_date	status	processed_by	processor_comment	process_date	name_category_id	name_code	name_description	version
24		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BPMV	Beam Position Monitor, Vertical	0
25		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BV	Ball Valve	0
26		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	C	Controller	0
27		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CAB	Instrument and control cabinets (or racks)	0
28		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CAF	Carbon Adsorber Filter (Aqueous Carbon or HEGA air filter)	0
29		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CAM	Camera	0
30		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CAT	Cathode	0
31		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CAVn	rf cavity; inside cryomodule: n is the cavity number (baseline range 1 - 8)	0
32		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CB	Circuit Breaker	0
33		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CC	Cooling Coil	0
34		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CCG	Cold Cathode Gauge	0
35		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CCGC	Cold Cathode Gauge Controller	0
36		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CF	Carbon Filter (HEGA)	0
37		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CFS	Creditable Filter Set	0
38		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CHLR	Chiller	0
39		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CHP	Chopper	0
40		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CIP	Chemical Injection Pump	0
41		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CLLM	Collimator	0
42		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CLLR	Collar	0
43		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CLT	Cooling Tower	0
44		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CM	Cryomodule (see table 9 for usage)	0
45		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CMP	Compressor	0
46		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CNDM	Conductivity Meter	0
47		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CP	Cryo Pump	0
48		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CR	Card Reader	0
49		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CRU	Condensate Return Unit	0
50		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CT	Cable Tray	0
51		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CV	Control Valve	0
52		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CVG	Convectron gauge	0
53		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CW	Casework	0
54		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	CYM	Cyclotron Magnet (for cyclotron stopper)	0
55		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DAMP	Damper	0
56		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DBCM	DC Beam Current Monitor	0
57		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DCH	Dipole magnet, Corrector, Horizontal	0
58		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DCHE	Dipole Electrostatic Corrector, Horizontal	0
59		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DCV	Dipole magnet, Corrector, Vertical	0
60		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DCVE	Dipole Electrostatic Corrector, Vertical	0
61		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DD	Device Drive	0
62		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DEC	Decapole magnet	0
63		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DEOX	Deoxygenation Membrane Column	0
64		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DF	Drinking Fountain	0
65		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DFF	Diffusers, Registers and Grills	0
66		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DH	Dipole magnet, Horizontal	0
67		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DHE	Dipole,Horizontal, Electric	0
68		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DHW	Door Hardware	0
69		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DIP	Diaphragm vacuum pump	0
70		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DOAU	Dedicated Outdoor Air Unit	0
71		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DP	Diffusion Pump	0
72		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DPM	Dew Point Monitor	0
73		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DPS	Differential Pressure Switch	0
74		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DPT	Differential Pressure Transducer	0
75		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DR	Door	0
76		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DRY	Compressed Air Dryer	0
77		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DS	Door switch	0
78		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DV	Dipole magnet, Vertical	0
79		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DVE	Dipole,Vertical, Electric	0
80		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DWH	Domestic Water Heater	0
81		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DWM	Domestic Water Meter	0
82		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	DWP	Domestic Water Piping	0
83		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EAF	Exhaust Air Fan	0
84		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EAV	Exhaust Air Variable Air Volume (VAV) box	0
85		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ECV	Electric Control Valve	0
86		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EDHx	Electrical Distribution Panelboard 480Y/277V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
87		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EDLx	Electrical Distribution Panelboard 208Y/120V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
88		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EG	Electrical Generator	0
89		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EHC	Electric Heating Coil	0
90		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EIN	Einzel lens	0
91		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EL	Exterior Light	0
92		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ELCn	Electrode, n (optional) is the electrode number	0
93		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ELD	Energy Loss Detector	0
94		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EML	Emergency Light	0
95		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EMS	Emittance Measurement System	0
96		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EP	Electrical Panel	0
97		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EPC	Electric Preheat Coil	0
98		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EPHx	Electrical Panelboard 480Y/277V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
99		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EPLx	Electrical Panelboard 208Y/120V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
100		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EPM	Electron type Profile Monitor	0
101		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ERAC	Equipment Room Air Conditioning Unit	0
102		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ERC	Electric Reheat Coil	0
103		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ESC	Exhaust Source Capture	0
104		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ESHx	Electrical Switchboard 480Y/277V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
105		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ESLx	Electrical Switchboard 208Y/120V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
106		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EUH	Electric Unit Heater	0
107		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EW	Eye Wash	0
108		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EXP	Expander	0
109		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EXPT	Expansion Tank	0
110		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	EXT	Extraction (e.g. used for voltage applied to an ion source on a platform)	0
111		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	F	Strainer	0
112		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FAN	Fan	0
113		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FAV	Fast Acting Valve	0
114		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FAVC	Fast Acting Valve Controller	0
115		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FBCM	Fast Beam Current Monitor	0
116		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FBLM	Fast Beam Loss Monitor	0
117		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FC	Faraday Cup	0
118		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FCS	Faraday Cup with Silicon Detector	0
119		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FE	Flow meter	0
120		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FF	Final Filter	0
121		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FFC	Fast Faraday Cup	0
122		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FIBV	Flow Indicating Balance Valve	0
123		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FIL	Filament	0
124		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FLRM	Floor Monument	0
125		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FLTR	Filter	0
126		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FNU	Fan Coil Unit	0
127		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FP	Fire Pump	0
128		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FPG	Foreline Pirani Gauge	0
129		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FPGC	Foreline Pirani Gauge Controller	0
130		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FR	Flow Regulator (or flow controller)	0
131		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FS	Flow Switch	0
132		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FSD	Foil Silicon Detector	0
133		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FSE	Fuse	0
134		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FSS	Fire Suppression Standpipe	0
135		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FT	Flash Tank	0
136		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FTR	Finned Tube Radiator	0
137		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FV	Foreline Valve	0
138		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FVV	Foreline Vent Valve	0
139		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	FZST	Freeze-stat	0
140		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	GND	Ground	0
141		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	GRID	Grid (bias)	0
142		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	GV	Gate Valve	0
143		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HAL	Hall probe	0
144		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HC	Hot Water Heating Coil	0
145		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HD	Heat Detector	0
146		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HF	HEPA Filter	0
147		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HMM	Higher Momentum Monitor	0
148		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HRL	Handrail	0
149		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HTR	Heater	0
150		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HUB	Ethernet hub	0
151		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HUH	Hot Water Unit Heater	0
152		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HUM	Humidifier	0
153		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HV	Hand Valve	0
154		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HVP	High Voltage Platform	0
155		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HVU	Heating and Ventilating Unit	0
156		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	HX	Heat exchanger	0
157		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IG	Ion Gauge	0
158		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IL	Interior Light	0
159		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IOC	Input Output Controller	0
160		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IP	Ion Pump	0
161		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IPA	Intermediate Power Amplifier	0
162		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IPC	Ion Pump Controller	0
163		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IPM	Ionization Profile Monitor	0
164		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IPMH	Ionization Profile Monitor, H	0
165		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IPMV	Ionization Profile Monitor, V	0
166		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	IX	Ion exchanger	0
167		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LBF	Laboratory Faucet	0
168		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LDS	Leak Detection Sensor	0
169		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LI	Level Indicator	0
170		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LIS	Laser Ion Source	0
171		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LS	Level Switch	0
172		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LT	Light	0
173		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LVDn	Lead Voltage Drop, where n is the LVD number	0
174		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LVF	Lavatory Faucet	0
175		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	LVT	Low Voltage Transformer	0
176		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MAN	Manifold	0
177		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MCC	Motor Control Center	0
178		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MCP	Multi Channel Plate	0
179		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MCPV	Multi Channel Plate combined with Viewer	0
180		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MIX	Agitators, mixers	0
181		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MOD	Modulator	0
182		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MOP	Muffling Orifice Plate	0
183		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MOT	Motor	0
184		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MOTS	Motor Starter	0
185		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MSM	Master Slave Manipulator (part of SWWn)	0
186		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MV	Manual Valve	0
187		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MVT	Medium Voltage Transformer	0
188		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	MVW	Medium Voltage Wiring	0
189		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	NEGP	Non-Evaporable Getter Pump	0
190		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	NS	Network Switch	0
191		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	OAF	Forced Ventilation Outside Air Fan	0
192		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	OCT	Octupole magnet	0
193		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	OE	Oxygen Sensor (water or air type)	0
194		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	OPS	Over Pressure Sensor	0
195		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PA	Power Amplifier	0
196		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PACn	Pneumatic Actuator, n is the actuator number, 1 being closest in the stack to the beam pipe	0
197		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PBHx	Plug-in Busway 480Y/277V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
198		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PBLx	Plug-in Busway 208Y/120V Systems, x: (O=Optional Standby, L=Legally Required, E=Emergency)	0
199		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PCV	Pneumatic Control Valve	0
200		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PEN	Penetration	0
201		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PF	Pre Filter	0
202		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PG	Pirani Gauge	0
203		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PGC	Pirani Gauge Controller	0
204		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	PHC	Hot Water Preheat Coil	0
